"run","active fibroblast","collagen density","diff number","ECM","Fiber","Fibroblast recruit","Fibroblast","M1","M1Total","M1ae","M1de","M2","Myoblast","Myofibroblast","Neutrophil","Apop Neutrophil","Necrosis","Pax7 SSCs","ResMacs","Senescent SSCs","Tick","Total Collagen","Total Size","tick"
1,0.0,1.0,0.0,3621.0,9183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3621.0,12804.0,1.0
1,8.0,1.0,0.0,3637.0,6391.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78716859074363,0.0,2792.0,13.0,11.362,0.0,1.0,3637.0,12820.0,2.0
1,14.0,1.0,0.0,3636.0,6391.0,0.0,25.0,0.2102510364326573,0.2102510364326573,0.0,0.0,0.0,0.0,0.0,12.631350410660826,0.18624583563766642,2792.0,13.0,10.01884,0.0,2.0,3636.0,12819.0,3.0
1,16.0,0.9977777777777777,0.0,3645.0,6391.0,1587.009817283447,25.0,0.6085844846979334,0.6111074971351252,0.0,0.002523012437191888,0.0,0.0,0.0,17.67638730884118,0.5315357399849346,2783.0,13.0,8.9174488,0.0,3.0,3636.8999999999996,12819.0,4.0
1,18.0,0.9963297726650231,0.0,3651.0,6391.0,1541.8307284152168,25.0,1.1684618550876658,1.1782576051919866,0.0,0.009795750104320787,0.0,0.0,0.0,22.026002201274242,1.0099352720511705,2776.0,13.0,8.014308016000001,0.0,4.0,3637.5999999999995,12818.0,5.0
1,20.0,0.994125683060109,0.0,3660.0,6365.0,1497.9378005075137,25.0,1.8664425167719252,1.8936824726605441,0.0035402125244981316,0.023699743364120923,0.0,0.0,0.0,25.78310650008635,1.5978380615481242,2793.0,13.0,7.273732573120001,0.0,5.0,3638.4999999999986,12818.0,6.0
1,23.0,0.9924734115080442,0.0,3667.0,6365.0,1455.2944190544276,25.0,2.6802997224777996,2.738535686500841,0.012423307378026733,0.04581265664501458,0.003933973526255927,0.0,0.0,29.055041439237637,2.2782322026002215,2786.0,14.0,6.6664607099584,0.0,6.0,3639.3999999999983,12818.0,7.0
1,23.0,0.9909090909090903,0.0,3674.0,6365.0,1432.700638114374,25.0,3.597949859257026,3.705895083958364,0.030518723266330334,0.077426501435008,0.03521960374759445,0.0,0.0,31.876250172374068,3.023631208090245,2778.0,14.0,6.168497782165888,0.0,7.0,3640.5999999999976,12817.0,8.0
1,24.0,0.9898097826086949,0.0,3680.0,6364.0,1391.9144320392675,25.0,4.604332748143994,4.7866115365591835,0.06260600668631673,0.11967278172887222,0.10047304947969167,0.0,0.0,34.30459967509468,3.810881813622805,2771.0,14.0,5.760168181376028,0.0,8.0,3642.4999999999973,12815.0,9.0
1,24.0,0.9863328822733416,0.0,3695.0,6364.0,1352.2893300788282,25.0,5.68235338944274,5.969960893135866,0.11411880236727262,0.1734887013258537,0.20097743978536958,0.0,0.0,36.378474084387875,4.617369480191949,2756.0,15.0,5.425337908728343,0.0,9.0,3644.4999999999973,12815.0,10.0
